programme_code,programme_name,year,year_raw,codes,line
CB023BUS06,,3,Third Year,"BUS2033S,INF1003F,INF2008F,INF2009F,INF2010S,INF2011S,INF3003W,INF3014F","BUS2033S, INF1003F INF2008F, INF2009F, INF2010S and INF2011S plus INF3003W, INF3014F"
CB023BUS06,,3,Third Year,"PSY1004F,PSY1005S,BUS1007S,BUS2024F,BUS2023S,BUS3003F,BUS3004S","PSY1004F, PSY1005S, BUS1007S, BUS2024F, BUS2023S, BUS3003F, BUS3004S"
CB023BUS06,,3,Third Year,"MAM1012S,STA2020F,STA2030S,STA3030F,STA3036S,STA3022F","MAM1012S, STA2020F and STA2030S, STA3030F, STA3036S (STA3022F optional)"
CB023BUS06,,3,Third Year,"BUS2023S,BUS3039",level. Students may not register for both BUS2023S and BUS3039 within the degree
CB023BUS06,,3,Third Year,"BUS2023S,BUS3039",BUS2023S Organisational Behaviour (may not be taken with BUS3039)
CB023BUS06,,3,Third Year,"PVL1008H,PVL1008S",PVL1008H Law of Persons and Family (formerly PVL1008S)
CB020BUS01,,3,Third Year,"MAM2010F,MAM2011F",*MAM2010F and MAM2011F are compulsory courses. Students may chose 2 courses from
CB020BUS09,,4,Fourth Year,"MAM2010F,MAM2011F",*MAM2010F and MAM2011F are compulsory courses. Students may choose 2 courses from
CB011ECO02,,3,Third Year,"MAM2000W,MAM2000W",must obtain permission from the convener of MAM2000W. See the MAM2000W handbook entry
CB011INF01,,4,Fourth Year,"CSC1015F,CSC1016S",open are requested to register for CB001INF06 and complete CSC1015F and CSC1016S in first year
CB011INF01,,4,Fourth Year,"CSC1015F,CSC1016S",**Students who complete CSC1015F can complete CSC1016S in first year in substitution for
CB011INF11,,1,First Year,"CSC1015F,CSC1016S",**Students who complete CSC1015F can complete CSC1016S in first year in substitution for
CB011INF11,,1,First Year,"STA1000S,STA1000P",***Students who fail STA1000S are recommended to register for STA1000P (subject to approval).
CB011INF11,,2,Second Year,"CSC1015F,CSC1016S",**Students who complete CSC1015F can complete CSC1016S in first year in substitution for
CB011INF11,,2,Second Year,"STA1000S,STA1000P",***Students who fail STA1000S are recommended to register for STA1000P (subject to approval).
CB011INF11,,4,Fourth Year,"CSC1015F,CSC1016S",* Students who complete CSC1015F can complete CSC1016S in first year in substitution for
CB011BUS06,,4,Fourth Year,"BUS2033S,INF1003F,INF2008F,INF2009F,INF2010S,INF2011S,INF3003W,INF3014F","BUS2033S, INF1003F INF2008F, INF2009F, INF2010S and INF2011S plus INF3003W, INF3014F"
CB011BUS06,,4,Fourth Year,"PSY1004F,PSY1005S,BUS1007S,BUS2024F,BUS2023S,BUS3003F,BUS3004S","PSY1004F, PSY1005S, BUS1007S, BUS2024F, BUS2023S, BUS3003F, BUS3004S"
CB011BUS06,,4,Fourth Year,"MAM1012S,STA2020F,STA2030S,STA3030F,STA3036S,STA3022F","MAM1012S, STA2020F and STA2030S, STA3030F, STA3036S (STA3022F optional)"
CB011BUS06,,4,Fourth Year,"BUS2023S,BUS3039",level. Students may not register for both BUS2023S and BUS3039 within the degree
CB011BUS06,,4,Fourth Year,"BUS2023S,BUS3039",BUS2023S Organisational Behaviour (may not be taken with BUS3039)
CB011BUS06,,4,Fourth Year,"PVL1008H,PVL1008S",PVL1008H Law of Persons and Family (formerly PVL1008S)
CB011BUS06,,4,Fourth Year,"PVL1008S,PVL1008S",PVL1008S Law of Persons and Family (formerly PVL1008S)
